2026-04-15
20:21:21.8,UTC
20:20:19.7,UTC
20:19:36.8,UTC
20:18:47.8,UTC
20:18:13.4,UTC
20:17:12.2,UTC
20:16:28.7,UTC
20:11:18.7,UTC
20:11:10.3,UTC
20:10:07.8,UTC
20:05:37.1,UTC
20:04:23.9,UTC
20:03:50.9,UTC
20:02:33.7,UTC
20:02:00.8,UTC
20:00:04.8,UTC
19:59:07.0,UTC
19:58:59.3,UTC
19:58:18.2,UTC
19:53:49.1,UTC
19:49:17.3,UTC
19:48:37.9,UTC
19:43:43.7,UTC
19:43:12.0,UTC
19:41:17.5,UTC
19:40:55.5,UTC
19:40:49.2,UTC
19:40:37.7,UTC
19:40:21.5,UTC
19:39:35.3,UTC
19:38:58.4,UTC
19:31:13.8,UTC
19:29:31.5,UTC
19:28:38.3,UTC
19:22:17.6,UTC
19:21:30.3,UTC
19:15:59.7,UTC
19:15:21.1,UTC
19:14:22.1,UTC
19:13:34.3,UTC
19:13:22.9,UTC
19:12:41.3,UTC
19:04:06.5,UTC
19:03:21.5,UTC
19:03:19.1,UTC
19:02:51.8,UTC
19:01:58.0,UTC
19:01:09.8,UTC
18:55:49.3,UTC
18:55:00.0,UTC
18:51:39.8,UTC
18:50:42.2,UTC
18:46:57.3,UTC
18:46:19.5,UTC
18:42:22.6,UTC
18:41:30.9,UTC
18:41:27.3,UTC
18:40:59.9,UTC
18:39:27.7,UTC
18:38:44.5,UTC
18:32:32.3,UTC
18:32:01.5,UTC
